label,mean_intensity,std_intensity,contrast,entropy,gradient
Lung_Opacity,111.776375,41.622246,0.3723707,25109.502,29.369371
Lung_Opacity,108.45,49.423927,0.45573008,23988.604,52.75994
Lung_Opacity,99.85105,75.702354,0.7581528,18091.361,73.33495
Lung_Opacity,131.49142,68.79341,0.5231779,22913.828,45.560806
Lung_Opacity,160.9401,49.013,0.3045419,26842.363,22.942373
Lung_Opacity,160.61787,48.102398,0.29948348,27247.389,39.68457
Lung_Opacity,149.83936,45.366608,0.3027683,28272.75,40.187294
Lung_Opacity,142.94849,59.46289,0.41597426,24873.29,45.578815
Lung_Opacity,110.39228,68.79845,0.62321794,21556.889,65.60666
Lung_Opacity,155.32632,64.852104,0.41752166,23048.447,26.990011
Lung_Opacity,152.61795,61.162136,0.40075323,24302.648,65.97721
Lung_Opacity,126.1238,41.499863,0.32904068,28003.559,32.25446
Lung_Opacity,135.92178,52.4477,0.3858668,26271.758,35.15349
Lung_Opacity,118.52712,67.48189,0.56933707,21012.238,23.326466
Lung_Opacity,119.00832,66.86148,0.5618219,20965.436,20.708738
Lung_Opacity,131.73178,59.417885,0.451052,24812.104,52.676334
Lung_Opacity,97.98604,60.765656,0.62014604,20325.457,58.32184
Normal,149.65,61.440266,0.41055977,23636.66,32.02685
Normal,137.01321,65.70168,0.47952807,22661.059,34.185165
Normal,168.17163,55.325726,0.3289837,24831.684,55.2632
Normal,103.93946,40.696724,0.39154258,24983.7,26.065174
Normal,102.580734,69.18203,0.6744154,19163.969,44.924747
Normal,130.16237,54.254135,0.4168189,25580.793,42.09204
Normal,105.361374,69.59258,0.6605132,19711.99,40.294342
Normal,112.00338,51.0967,0.45620677,24586.3,36.11049
Normal,160.08408,64.15541,0.40076074,22972.264,60.508953
Normal,128.729,58.12328,0.45151657,25495.215,48.32727
Normal,102.28653,54.89627,0.5366911,21915.71,53.235203
Normal,104.9166,74.69271,0.7119246,18620.004,43.20678
Normal,116.94078,69.947205,0.5981421,21722.744,51.965954
Normal,143.61346,57.7224,0.4019289,25080.93,48.58951
Normal,125.783714,64.28325,0.5110618,22573.041,43.521816
Normal,155.06854,65.04142,0.41943657,22969.092,33.95632
Normal,84.42534,85.103806,1.0080363,13988.212,51.956585
Normal,103.83878,59.14282,0.56956387,21880.47,45.252884
Normal,110.53004,64.8735,0.58693093,21248.217,38.86594
Normal,125.65888,56.454998,0.44927186,24672.05,50.224396
Normal,107.42579,73.228806,0.68166876,19134.838,42.808647
Normal,103.91162,39.848434,0.38348392,25074.086,26.56604
Normal,109.86854,72.560234,0.66042775,19372.07,41.324978
Normal,152.22139,54.4094,0.35743597,26504.883,41.759
Normal,116.92071,65.635124,0.5613644,21734.246,44.926785
Normal,114.799095,71.00066,0.6184776,20447.545,40.902424
Normal,141.7356,62.52045,0.4411062,25111.658,53.566177
Normal,132.72812,68.87565,0.5189228,22401.95,45.702217
Normal,178.39426,54.624443,0.30620068,22635.463,39.65303
Normal,116.08116,54.58318,0.47021565,24104.693,38.68358
Normal,141.15002,41.27897,0.29244748,28638.74,44.74459
Normal,120.55737,70.71934,0.58660316,20280.49,29.610582
Normal,99.49353,64.14096,0.6446747,19897.54,48.403316
Normal,104.64095,79.16846,0.7565724,17137.855,38.34449
Normal,101.17696,64.40649,0.63657266,19893.887,48.52748
Normal,160.91028,59.305805,0.36856443,24273.59,53.000156
Normal,129.30565,68.10827,0.5267231,22212.617,31.288214
Normal,122.077774,68.988,0.56511515,22425.582,53.431953
Normal,145.72041,52.676483,0.36149007,26605.334,44.971947
Normal,136.5512,64.385376,0.4715109,23220.496,35.930355
Normal,117.82928,69.21713,0.5874358,20983.959,35.990273
Normal,104.02143,63.561886,0.6110461,20505.094,42.55894
Normal,158.09978,65.64756,0.41522866,22433.254,62.508728
Normal,144.68729,41.2863,0.2853485,28883.828,26.55611
Normal,140.62073,66.72602,0.47451055,22527.775,34.703243
Normal,128.7826,48.779972,0.37877768,26457.723,36.26928
Normal,111.26044,31.770004,0.28554627,26797.236,21.986917
Normal,147.0828,71.33322,0.48498684,21575.354,46.585
Normal,121.29312,64.59982,0.53259265,22741.225,66.72017
Normal,113.95394,66.81038,0.5862928,20667.38,44.53636
Normal,153.81781,51.01357,0.3316493,27156.482,47.403687
Normal,117.1354,71.30394,0.6087309,20579.283,40.09842
Normal,158.24588,68.329315,0.43179205,22003.08,50.0609
Normal,133.91956,74.15752,0.55374676,20615.543,36.83681
Normal,146.50494,57.994717,0.395855,25936.383,35.039196
Normal,117.03864,68.7379,0.5873094,21262.637,33.332504
Normal,120.55834,55.508083,0.46042508,24392.338,53.874084
Normal,101.1843,73.48461,0.72624516,18804.566,48.880234
Normal,168.04407,70.1496,0.41744763,19713.094,27.73861
Normal,110.449326,69.457245,0.6288608,20504.543,46.9273
Normal,169.08257,60.9926,0.3607267,22530.152,36.778347
Normal,179.47997,48.096764,0.26797846,24475.389,46.380787
Normal,111.447716,31.412233,0.28185624,26802.709,22.128633
Normal,99.63661,39.21104,0.39354047,23917.62,28.786474
Normal,132.5348,50.43742,0.3805598,26367.111,62.599632
Normal,140.6503,74.74902,0.531453,20520.793,28.256605
Normal,114.94011,60.477043,0.5261614,22938.225,41.79032
Normal,135.05748,73.52506,0.5443983,20484.18,38.245804
Normal,130.05034,48.16437,0.37035176,27032.441,51.056282
Normal,120.79763,60.20715,0.49841332,24812.059,43.413696
Normal,99.79967,73.79058,0.73938704,18063.13,44.055996
Normal,117.58638,62.428646,0.53091735,22823.152,35.65431
Normal,113.799,71.790565,0.63085407,19871.283,47.62422
Normal,153.64616,48.94681,0.3185684,27162.797,57.26667
Normal,112.35486,63.883884,0.56859034,22280.764,55.43538
Normal,158.81506,65.93166,0.41514742,22956.404,58.942406
Normal,125.98714,63.066475,0.5005787,22950.045,32.948837
Normal,111.819565,62.132313,0.55564797,22879.775,33.746685
Normal,136.12741,68.08648,0.5001673,22449.117,32.360977
Normal,135.91031,71.78157,0.52815396,21513.355,32.95973
Normal,112.781006,71.33363,0.6324969,20044.885,38.904213
Normal,126.29896,68.34121,0.5411067,21798.984,39.58221
Normal,130.08969,74.70891,0.5742877,20791.379,31.590687
Normal,104.3622,65.650536,0.6290643,19941.523,45.895214
Normal,92.293465,70.532295,0.7642177,17301.252,53.990234
Normal,106.69612,68.521324,0.64221007,19933.072,38.85078
Normal,136.36662,66.7155,0.4892363,22969.76,73.61352
Normal,111.94066,71.1689,0.6357735,20179.256,38.482883
Normal,131.89365,62.94517,0.47724187,23408.738,40.02184
Normal,121.819435,65.95646,0.541428,21695.832,36.692303
Normal,102.814064,40.891747,0.39772522,24879.043,24.63642
Normal,99.25795,63.490253,0.63964903,19504.668,42.58636
Normal,136.93527,67.22583,0.49093145,22437.836,60.336716
Normal,127.107994,71.03806,0.5588796,21333.764,35.73984
Normal,169.92476,47.284763,0.2782688,26406.44,32.50859
Normal,158.16685,47.721165,0.30171406,27851.47,27.90336
Normal,172.0326,50.849586,0.29558113,24908.988,31.938282
Normal,119.27577,65.43835,0.54863065,21797.053,40.71878
Normal,133.99213,58.701145,0.438094,25586.1,44.30827
Normal,127.50544,68.57602,0.5378282,22028.979,40.264446
COVID,145.89685,51.816635,0.35515937,27287.674,27.965117
COVID,148.21422,65.08138,0.4391035,23562.754,44.149216
COVID,173.97772,54.045704,0.31064728,24152.58,46.17367
COVID,133.25508,44.188396,0.33160758,28501.309,23.092758
COVID,138.80002,53.86935,0.38810766,26441.016,36.26481
COVID,143.03413,62.204933,0.43489572,24199.855,57.777897
COVID,139.30579,54.2036,0.389098,25885.773,43.16935
COVID,145.58235,35.87976,0.2464568,29615.664,22.14216
COVID,155.08638,52.020996,0.3354324,26460.62,41.4488
COVID,136.55344,75.35696,0.5518496,20243.252,29.114195
COVID,62.413845,20.23298,0.32417455,15169.647,13.43141
COVID,142.27916,51.68432,0.36325994,26343.38,40.786076
COVID,135.8468,54.558567,0.40161833,26433.027,40.180466
COVID,137.10738,67.54727,0.49265966,23363.441,51.81156
COVID,138.58649,57.491413,0.4148414,25206.322,37.932053
COVID,162.13885,31.117952,0.19192162,30198.621,22.75861
COVID,139.27695,59.90494,0.43011382,25210.049,40.062046
COVID,143.81761,45.894924,0.31911895,28182.424,40.451977
COVID,131.2438,63.913765,0.486985,24003.672,57.988766
COVID,149.67194,40.4656,0.27036196,29040.121,19.275032
COVID,163.40555,76.048386,0.46539658,19580.797,35.480267
COVID,156.41791,44.063866,0.281706,28234.5,30.208805
COVID,95.6425,43.777714,0.4577224,22581.186,31.274748
COVID,154.48001,39.887424,0.25820443,29057.002,31.371168
COVID,182.85544,58.202946,0.31830034,22018.793,41.42518
COVID,125.60586,87.78009,0.6988535,17865.572,44.46643
COVID,145.66496,56.031822,0.38466233,25565.877,33.29843
COVID,161.72543,63.659744,0.39362854,23016.02,35.360756
COVID,109.65463,43.41753,0.395948,24999.527,20.367582
COVID,155.54857,33.96437,0.21835218,29904.281,34.662975
COVID,148.03886,23.11604,0.15614845,31416.12,28.639
COVID,113.71266,93.79878,0.8248754,15119.24,47.880848
COVID,150.40715,58.9466,0.39191356,25539.363,34.141148
COVID,105.70506,20.720837,0.19602501,26371.27,23.555794
COVID,146.03632,54.931114,0.37614694,25463.729,27.267807
COVID,144.13931,37.08208,0.25726557,29280.838,35.841976
COVID,135.06937,58.367954,0.43213317,25054.734,37.28942
COVID,140.91771,77.82809,0.55229455,21124.322,31.22616
COVID,138.28206,54.04526,0.3908335,24981.098,21.369928
COVID,147.53741,59.759304,0.4050451,25021.7,31.26534
COVID,159.19409,73.054886,0.4589045,20912.898,57.324333
COVID,156.90964,38.44959,0.24504288,29166.438,28.23612
COVID,182.20297,42.263947,0.2319608,25293.447,19.576654
COVID,147.4572,73.908195,0.50121796,20360.64,44.508263
COVID,167.74857,48.946014,0.29178202,26034.662,39.86644
COVID,135.66426,44.440083,0.32757398,27386.148,33.78567
COVID,146.58093,63.138985,0.43074486,24114.844,45.442574
COVID,132.9902,68.64807,0.5161889,23545.299,43.33354
COVID,108.64371,75.62914,0.6961208,20088.506,58.027004
COVID,102.07847,71.54706,0.7009025,19395.484,47.945724
COVID,162.46204,73.804794,0.4542895,18743.143,25.491936
COVID,143.41809,41.926323,0.29233637,28697.717,34.78796
COVID,131.14699,44.05654,0.33593255,27327.355,28.07155
COVID,169.12344,67.39804,0.39851388,20976.498,37.12781
COVID,141.32826,29.153013,0.20627873,30243.084,23.917969
COVID,153.96219,81.389534,0.52863324,18319.498,42.2182
COVID,116.937935,69.00926,0.5901358,22549.125,60.60972
COVID,162.65562,66.93109,0.41148955,21503.09,32.466248
COVID,148.04572,52.351463,0.35361686,26366.863,31.753466
COVID,148.4813,47.826824,0.32210672,27287.438,29.716484
COVID,158.09264,78.81995,0.49856812,18762.08,71.56153
COVID,105.88124,65.928276,0.6226625,20425.23,26.222383
COVID,135.101,32.753616,0.242438,29415.59,28.677326
COVID,157.7328,44.983227,0.28518626,27476.402,31.985632
COVID,138.72453,56.12206,0.40455756,26964.848,34.283043
COVID,82.441795,43.694836,0.5300083,19618.92,38.136734
COVID,137.61005,55.185585,0.40102875,26424.844,31.604519
COVID,99.16232,47.668343,0.48071024,22004.773,36.19698
COVID,152.36047,33.699444,0.22118233,30181.834,25.022923
COVID,144.1766,70.33516,0.4878403,22188.055,49.010914
COVID,140.27675,80.69831,0.5752793,19284.477,52.18014
COVID,116.68222,68.461494,0.5867346,22140.73,34.575443
COVID,130.86551,76.223595,0.5824575,19623.42,103.81731
COVID,135.98196,55.551403,0.40852037,25612.55,44.695717
COVID,153.65831,61.273285,0.39876324,24576.982,37.005093
COVID,174.10779,74.16949,0.42599753,19286.088,57.98137
COVID,93.84719,48.454178,0.5163093,21831.066,29.3718
COVID,156.5574,87.4835,0.55879503,15094.63,50.157566
COVID,136.082,51.883926,0.38126957,26343.352,32.658924
COVID,127.994225,56.832153,0.44402122,25362.621,36.03272
COVID,152.76541,45.930626,0.30066115,28303.238,20.603241
COVID,124.102974,68.06467,0.54845315,22775.781,33.19775
COVID,134.65681,53.874943,0.40009072,25720.352,32.528774
COVID,91.144325,49.66336,0.544887,20986.676,34.57932
COVID,102.86919,46.80567,0.45500186,23367.496,32.681286
COVID,174.84454,62.164,0.3555387,21437.543,38.63954
COVID,129.89078,66.17956,0.5095016,24418.219,39.761284
COVID,174.22972,60.105915,0.34498084,22035.611,39.545998
COVID,169.4107,76.78444,0.45324433,18855.148,42.24215
COVID,170.24985,36.487545,0.21431763,28320.824,26.6205
COVID,92.99518,42.301723,0.45488083,22006.871,34.258488
COVID,178.11751,70.742645,0.3971684,18635.682,55.92851
COVID,151.57341,33.781197,0.2228702,30053.148,20.02415
COVID,108.467575,71.18275,0.6562583,21301.807,49.85178
COVID,151.52448,54.83198,0.3618688,24663.785,23.52286
COVID,133.75598,57.062576,0.426617,25482.969,36.585503
COVID,141.6932,53.400425,0.37687358,26445.152,39.84384
COVID,122.431015,52.90259,0.43210122,25333.617,34.633274
COVID,133.84998,33.32386,0.24896426,29564.09,22.515846
COVID,148.77072,53.852535,0.36198342,26223.553,27.442953
