image_path,label
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-348.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1233.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-15.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1227.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-29.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-604.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-162.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-176.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-610.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-638.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1031.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1025.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-823.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1019.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-189.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-837.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-188.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1018.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-836.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-822.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1024.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1030.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-639.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-177.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-611.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-605.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-163.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-28.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-14.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1226.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1232.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-349.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-413.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-375.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-361.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-407.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-598.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-229.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-567.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-201.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-215.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-573.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-942.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-956.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1178.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1150.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1144.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-759.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-981.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-995.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1193.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-765.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-771.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1187.png,Viral Pneumonia
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-129.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1060.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5206.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2569.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3677.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4118.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-14.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3111.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5560.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1706.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-897.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-883.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1712.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3105.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5574.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5212.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3663.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1074.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3893.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2555.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4124.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-115.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-673.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-28.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4642.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2233.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4656.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3139.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2227.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5548.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-667.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-101.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1048.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3887.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2541.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4130.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-854.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4865.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4871.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1909.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-698.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-840.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3878.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3688.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3850.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2596.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4859.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4681.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1921.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-868.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1935.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4695.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3844.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2582.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1504.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5762.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3313.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3475.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5004.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1262.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1276.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3461.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5010.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5776.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2019.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3307.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4468.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-459.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1510.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2031.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5986.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4440.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-471.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1538.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-317.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4326.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-3449.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2757.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5038.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4332.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2743.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-303.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-465.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2025.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5992.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4454.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5979.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2970.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2964.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5945.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4483.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2794.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1289.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2780.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-2958.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5951.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4497.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-5789.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-1470.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-539.png,Lung_Opacity
/Users/theodaguier/Developer/Projects/School/COVID_19/data/COVID-19_Radiography_Dataset/Lung_Opacity/images/Lung_Opacity-4508.png,Lung_Opacity
